State,State_Population,Traffic_Fatalities
Alabama,"5,074",988
Alaska,734,82
Arizona,"7,359","1,302"
Arkansas,"3,046",643
California,"39,029","4,428"
Colorado,"5,840",764
Connecticut,"3,626",359
Delaware,"1,018",162
District of Columbia,672,32
Florida,"22,245","3,530"
Georgia,"10,913","1,797"
Hawaii,"1,440",116
Idaho,"1,939",215
Illinois,"12,582","1,268"
Indiana,"6,833",949
Iowa,"3,201",338
Kansas,"2,937",410
Kentucky,"4,512",744
Louisiana,"4,590",906
Maine,"1,385",182
Maryland,"6,165",564
Massachusetts,"6,982",434
Michigan,"10,034","1,124"
Minnesota,"5,717",444
Mississippi,"2,940",703
Missouri,"6,178","1,057"
Montana,"1,123",213
Nebraska,"1,968",244
Nevada,"3,178",416
New Hampshire,"1,395",146
New Jersey,"9,262",685
New Mexico,"2,113",466
New York,"19,677","1,175"
North Carolina,"10,699","1,630"
North Dakota,779,98
Ohio,"11,756","1,275"
Oklahoma,"4,020",710
Oregon,"4,240",601
Pennsylvania,"12,972","1,179"
Rhode Island,"1,094",52
South Carolina,"5,283","1,094"
South Dakota,910,137
Tennessee,"7,051","1,314"
Texas,"30,030","4,408"
Utah,"3,381",319
Vermont,647,76
Virginia,"8,684","1,008"
Washington,"7,786",733
West Virginia,"1,775",264
Wisconsin,"5,893",596
Wyoming,581,134
U.S. Total,"333,288","42,514"
