State,"Resident population
(000)","Total traffic
fatalities",Fatalities,"Percent of total
traffic fatalities","Fatalities  
100,000 population"
Alabama,"5,074",988,14,1.4%,0.28
Alaska,734,82,2,2.40,0.27
Arizona,"7,359","1,302",50,3.80,0.68
Arkansas,"3,046",643,6,0.90,0.20
California,"39,029","4,428",177,4.00,0.45
Colorado,"5,840",764,15,2.00,0.26
Connecticut,"3,626",359,3,0.80,0.08
Delaware,"1,018",162,6,3.70,0.59
District of Columbia,672,32,3,9.40,0.45
Florida,"22,245","3,530",222,6.30,1.00
Georgia,"10,913","1,797",29,1.60,0.27
Hawaii,"1,440",116,7,6.00,0.49
Idaho,"1,939",215,4,1.90,0.21
Illinois,"12,582","1,268",35,2.80,0.28
Indiana,"6,833",949,16,1.70,0.23
Iowa,"3,201",338,4,1.20,0.12
Kansas,"2,937",410,7,1.70,0.24
Kentucky,"4,512",744,14,1.90,0.31
Louisiana,"4,590",906,45,5.00,0.98
Maine,"1,385",182,2,1.10,0.14
Maryland,"6,165",564,10,1.80,0.16
Massachusetts,"6,982",434,9,2.10,0.13
Michigan,"10,034","1,124",36,3.20,0.36
Minnesota,"5,717",444,6,1.40,0.10
Mississippi,"2,940",703,17,2.40,0.58
Missouri,"6,178","1,057",11,1.00,0.18
Montana,"1,123",213,2,0.90,0.18
Nebraska,"1,968",244,0,(2),(3)
Nevada,"3,178",416,15,3.60,0.47
New Hampshire,"1,395",146,3,2.10,0.22
New Jersey,"9,262",685,18,2.60,0.19
New Mexico,"2,113",466,4,0.90,0.19
New York,"19,677","1,175",50,4.30,0.25
New Carolina,"10,699","1,630",22,1.30,0.21
New Dakota,779,98,1,1.00,0.13
Ohio,"11,756","1,275",8,0.60,0.07
Oklahoma,"4,020",710,15,2.10,0.37
Oregon,"4,240",601,13,2.20,0.31
Pennsylvania,"12,972","1,179",15,1.30,0.12
Rhode Island,"1,094",52,0,(2),(3)
South Carolina,"5,283","1,094",25,2.30,0.47
South Dakota,910,137,3,2.20,0.33
Tennessee,"7,051","1,314",15,1.10,0.21
Texas,"30,030","4,408",91,2.10,0.30
Utah,"3,381",319,15,4.70,0.44
Vermont,647,76,1,1.30,0.15
Virginia,"8,684","1,008",11,1.10,0.13
Washington,"7,786",733,11,1.50,0.14
West Virginia,"1,775",264,2,0.80,0.11
Wisconsin,"5,893",596,14,2.30,0.24
Wyoming,581,134,1,0.70,0.17
U.S. Total,"333,288","42,514","1,105",2.60%,0.33
